,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,0440234743,The Testament,John Grisham,1999,Dell
1,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
2,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd
3,0971880107,Wild Animus,Rich Shapero,2004,Too Far
4,0345402871,Airframe,Michael Crichton,1997,Ballantine Books
5,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
6,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks
7,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company
8,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
9,0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch
10,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
11,0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
12,0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
13,042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
14,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell
15,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers
16,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
17,0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket
18,0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books
19,042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
20,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
21,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
22,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
23,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
24,0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books
25,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf
26,0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf
27,0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
28,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
29,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
30,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books
31,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
32,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
33,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
34,0446608653,The Alibi,Sandra Brown,2000,Warner Books
35,0446612545,The Beach House,James Patterson,2003,Warner Books
36,0451208080,The Short Forever,Stuart Woods,2003,Signet Book
37,0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books
38,0671027360,Angels & Demons,Dan Brown,2001,Pocket Star
39,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books
40,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket
41,0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm)
42,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
43,0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
44,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
45,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
46,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch
47,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
48,038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor
49,0451410319,Hush,Anne Frasier,2002,Onyx Books
50,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books
51,0380778556,Rebecca,Daphne Du Maurier,1994,Avon
52,0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book
53,0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta
54,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
55,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta
56,039575514X,My Antonia,Willa Cather,1995,Mariner Books
57,0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book
58,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications
59,0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra
60,0060977493,The God of Small Things,Arundhati Roy,1998,Perennial
61,0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown"
62,0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown"
63,0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books
64,0345378490,Congo,Michael Crichton,1995,Ballantine Books
65,0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books
66,0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf
67,0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage
68,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon
69,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon
70,0380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon
71,0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday
72,0385508042,The King of Torts,John Grisham,2003,Doubleday Books
73,0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday
74,0385511612,Bleachers,John Grisham,2003,Doubleday
75,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers
76,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
77,0446610399,The Rescue,Nicholas Sparks,2001,Warner Books
78,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
79,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books
80,0451186648,Silent Snow,Steve Thayer,2000,Signet Book
81,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
82,051513290X,Summer of Storms,Judith Kelman,2002,Jove Books
83,0553580388,The Patient,Michael Palmer,2001,Bantam Books
84,0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket
85,0671027387,Deception Point,Dan Brown,2002,Pocket
86,0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner
87,0786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion
88,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor
89,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications
90,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books
91,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books
92,0804111359,Secret History,DONNA TARTT,1993,Ballantine Books
93,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
94,0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown"
95,0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest
96,0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell
97,0451409256,Making Minty Malone,Isabel Wolff,2000,Onyx Books
98,0451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996,Signet Classics
99,0451526341,Animal Farm,George Orwell,2004,Signet
100,0553280589,Eva Luna,Isabel Allende,1989,Bantam Books
101,0684833395,Catch 22,Joseph Heller,1996,Simon & Schuster
102,1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,DC Comics
103,0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA
104,0440235502,October Sky: A Memoir,Homer Hickam,1999,Dell
105,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
106,0553278746,The Postman (Bantam Classics),David Brin,1990,Spectra Books
107,0312963009,Neanderthal: A Novel,John Darnton,1997,St. Martin's Press
108,0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,Dover Publications
109,0345371984,Last Chance to See,Douglas Adams,1992,Ballantine Books
110,0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial
111,1573228737,Affinity,Sarah Waters,2002,Riverhead Books
