,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Category,Desc
0,0440234743,The Testament,John Grisham,1999,Dell,Fiction,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament"
1,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,Fiction,"Staring unflinchingly into the abyss of slavery, this novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. Sethe, its protagonist, was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. And Sethe's new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved."
2,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd,Cooking,"In New Vegetarian Celia Brooks Brown presents an innovative approach to vegetarian cooking. There's practical advice on how to choose and prepare the major vegetarian ingredients, followed by 50 original, stylish recipes, all photographed by Philip Webb."
3,0971880107,Wild Animus,Rich Shapero,2004,Too Far,Fiction,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point."
4,0345402871,Airframe,Michael Crichton,1997,Ballantine Books,Fiction,"A fatal mid-air collision involving a commercial airliner prompts a frantic, desperate investigation into the causes of the accident, in a thriller exploring the issue of safety and security in the aircraft industry"
5,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,Fiction,"Using a quantum time machine, a group of young historians is sent back to the year 1357 to rescue their trapped project leader."
6,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,Fiction,"Five American expatriates living in Budapest in the early 1990s seek to establish themselves and make their fortunes in a city still haunted by the tragedies of its Communist past. A first novel. Reader's Guide included. Reprint. 100,000 first printing."
7,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company,Fiction,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature."
8,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,History,"The author retraces the amazing journey of Seabiscuit, a horse with crooked legs and a pathetic tail that nevertheless made racing history in 1938, thanks to the efforts of a trainer, an owner, and a jockey who transformed a bottom-level racehorse into a legend. Reader's Guide included. Reprint."
9,0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,Fiction,"The year is 1966, a time of innocence, possibility, and freedom. And for Atlanta, the country, and one woman making her way in a changing world, nothing will be the same . . . After an airless childhood in Savannah, Smoky O'Donnell arrives in Atlanta, dazzled and chastened by this hectic young city on the rise. Her new job as a writer with the city's Downtown magazine introduces her to many unforgettable people and propels her into the center of momentous events that will irrevocably alter her heart, her career, and her world."
10,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,Fiction,A young news reporter on assignment at a large metropolitan hospital is horrified when she sees that a young Jane Doe whom paramedics have failed to save has a face identical to her own
11,0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,Fiction,"Koontz looks heavenward for inspiration in his newest suspense thriller, which is chock-full of signs, portents, angels, and one somewhat second-rate devil, a murky and undercharacterized guy named Junior Cain who throws his beloved wife off a fire tower on an Oregon mountain and spends the rest of the novel waiting for the retribution that will surely come. But not before a series of tragedies ensues that convince Junior that someone or something named Bartholomew is out to exact vengeance for that crime and the series of other murders that follow. --- Amazon."
12,0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,Fiction,"Angered over the governor's order on speed traps, the eccentric inhabitants of the Isle of Tangier, off the coast of Virginia, declare war on their own state, and it is up to Judy Hammer, the new superintendent of the state police, to stop the crisis."
13,042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,Fiction,Eve Dallas must face the impossible: someone has unleashed a computer virus that may be able to spread from machine to man.
14,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,Fiction,"Presents an anthology of Christmas stories reflecting on the various ways in which the holidays serve as a catalyst to promote change, growth, and new beginnings"
15,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,,
16,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,Fiction,"After a violent encounter with a homeless man, talented corporate lawyer Michael finds himself out in the streets, lucky to be alive, and holding a top-secret file belonging to his former employers"
17,0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,Fiction,"Presents a love story and an epic of the frontier, richly authentic that makes readers laugh, weep, dream and remember"
18,0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,,
19,042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,,
20,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),Fiction,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughters' memories and feelings"
21,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,Humor,"An expert in Chinese philosophy explains facets of Taoism using Milne's famous character and explores the world of Winnie-the-Pooh through Tao, characterizing Pooh as a simple bear who subscribes to the principles of successful living"
22,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,,
23,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,Conduct of life,
24,0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,Fiction,In a futuristic military adventure a recruit goes through the roughest boot camp in the universe and into battle with the Terran Mobile Infantry in what historians would come to call the First Interstellar War
25,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,Juvenile Fiction,"In nineteenth-century London, sixteen-year-old Sally, a recent orphan, becomes involved in a deadly search for a mysterious ruby."
26,0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,Fiction,A forensic pathologist returns to Sri Lanka--after 15 years abroad--to assist in identifying victims of the country's civil war
