,User-ID,Location,Age
0,8,canada,35
1,242,germany,37
2,243,usa,35
3,254,usa,24
4,383,usa,35
5,388,usa,35
6,408,usa,17
7,446,usa,35
8,487,usa,35
9,503,usa,40
10,505,usa,51
11,507,usa,35
12,626,austria,41
13,638,usa,20
14,643,france,23
15,651,usa,26
16,709,usa,14
17,728,usa,35
18,735,usa,29
19,741,usa,16
20,805,usa,34
21,876,usa,33
22,882,usa,23
23,901,unitedkingdom,21
24,929,other,36
25,1025,unitedkingdom,33
26,1131,other,22
27,1155,usa,22
28,1167,usa,25
29,1184,usa,38
30,1211,france,22
31,1248,usa,35
32,1424,australia,35
33,1435,usa,36
34,1485,usa,30
35,1548,usa,28
36,1585,usa,29
37,1674,usa,26
38,1733,usa,30
39,1812,usa,24
40,1848,usa,22
41,1903,taiwan,36
42,1928,usa,17
43,2010,usa,35
44,2012,other,34
45,2030,usa,31
46,2033,usa,27
47,2046,usa,22
48,2090,usa,28
49,2103,usa,43
50,2110,usa,35
51,2132,usa,35
52,2179,usa,30
53,2276,usa,46
54,2288,usa,30
55,2313,usa,23
56,2337,usa,34
57,2358,usa,23
58,2363,usa,42
59,2719,usa,37
60,2766,usa,42
61,2790,usa,50
62,2793,usa,34
63,2799,usa,35
64,2891,usa,35
65,2954,usa,71
66,2977,usa,25
67,3145,usa,34
68,3167,usa,42
69,3282,canada,52
70,3331,usa,60
71,3346,iran,20
72,3371,usa,25
73,3373,usa,30
74,3538,spain,31
75,3556,usa,68
76,3578,canada,25
77,3640,usa,35
78,3643,usa,35
79,3675,spain,24
80,3693,usa,23
81,3719,usa,18
82,3757,spain,35
83,3827,usa,23
84,3840,usa,46
85,3915,switzerland,35
86,3917,canada,25
87,3923,other,35
88,4017,usa,48
89,4092,usa,27
90,4114,germany,35
91,4131,unitedkingdom,51
92,4157,usa,39
93,4197,usa,61
94,4221,usa,35
95,4223,germany,28
96,4334,italy,38
97,4385,usa,33
98,4401,usa,28
99,4600,usa,32
100,4622,usa,18
101,4785,usa,30
102,4802,unitedkingdom,28
103,4896,romania,18
104,4938,usa,30
105,5037,usa,26
106,5127,italy,33
107,5207,usa,34
108,5208,france,20
109,5209,usa,48
110,5331,unitedkingdom,26
111,5350,germany,20
